ID,TEMPORADA,NOM_INCEN,CAUSA,SUPERFICIE,CODREG,CODPROV,CODCOM,REGION,COMUNA,PROVINCIA,FECHA_INI,FECHA_TER,SHAPE_Leng,SHAPE_Area
12,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),2.73,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",869.816304298,27338.8454874
13,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),2.56,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1023.28791971,25579.852415
14,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),0.1,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",144.718655765,965.616931341
15,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),2.29,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1006.54666348,22943.5611589
16,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),0.39,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",310.922965443,3891.09297102
17,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),0.93,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",405.944031881,9250.98465644
18,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),2.29,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",870.765254248,22896.5296591
19,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),0.05,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",101.421113069,484.348398274
20,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),0.43,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",271.543196469,4306.76497063
21,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),10.94,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",2180.20492808,109416.580121
22,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),644.59,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",40349.4245738,6445928.97578
23,2018-2019,853 - CAMPO LINDO,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),293,08,084,08405,Region del Biobio,Coihueco,Cuble,"""2019-02-14T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",30915.7099762,2930001.79196
24,2018-2019,305 - MITRAUQUEN FUNDO RAHUE,1.4.4. USO DE FUEGO EN ACTIVIDADES DE PESCA,350.68,09,092,09205,Region de la Araucania,Lonquimay,Malleco,"""2019-02-02T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",30815.0926397,3506780.95573
25,2018-2019,422 - CERRO BUSTAMANTE,"1.4.1. USO DE FUEGO PARA ACTIVIDADES RECREATIVAS EN EREAS NO HABILITADAS  (EXCURSIONISTAS, PASEANTES, ASADOS)",690.46,13,131,13124,Regi4n Metropolitana,Pudahuel,Santiago,"""2019-02-24T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",21856.7759919,6904562.31401
26,2018-2019,188 - FUNDO SANTA ROSA,1.2.10. OTROS INCENDIOS POR FAENAS AGROPECUARIAS NO CLASIFICADAS,336.42,13,135,13501,Regi1n Metropolitana,Melipilla,Melipilla,"""2018-12-10T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",23526.1004498,3364178.55303
