TEMPORADA,NOM_INCEN,FECHA_INI,SUPERFICIE,PROVINCIA,COMUNA,NUMERO_REG,CAUSA,REGION,CODCOM,CODPROV,CODREG,FECHA_TER
2022-2023,CABRERO,30-dic-2022 16:01,208.113028,Biobio,Cabrero,405,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),Biobío,8303,83,8,5-ene-2023 16:05
2022-2023,LLINQUI LLINQUI,26-mar-2023 11:13,498.190841,Biobio,Alto Biob__o,1060,2.1.11. Otros intencionales no clasificados,Biobío,8314,83,8,28-abr-2023 16:32
2022-2023,ANTUMALAL,7-abr-2023 17:47,216.906479,Biobio,Mulchen,1126,2.1.11. Otros intencionales no clasificados,Biobío,8305,83,8,24-abr-2023 14:06
2022-2023,EL CHEQUEN Y OTROS,29-dic-2022 10:22,690.650788,Malleco,Angol,247,2.1.2. Conflicto entre personas (venganza  conflictos familiares y  pasionales  otros),Araucanía,9201,92,9,2-ene-2023 16:56
2022-2023,La Granja 3,6-mar-2023 14:14,201.631613,Cautin,Vilcun,991,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9119,91,9,10-mar-2023 17:33
2022-2023,Alto Quino,5-mar-2023 15:24,692.485798,Malleco,Victoria,974,4.1.2. No determinada (la causa no es investigada),Araucanía,9211,92,9,9-mar-2023 21:54
2022-2023,El Progreso,19-feb-2023 00:49,219.832185,Malleco,Collipulli,877,4.1.2. No determinada (la causa no es investigada),Araucanía,9202,92,9,24-feb-2023 20:44
2022-2023,Pillalelbun,22-feb-2023 17:15,233.36665,Cautin,Lautaro,863,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9108,91,9,24-feb-2023 14:18
2022-2023,Bochoco (P),22-feb-2023 16:21,1217.360169,Cautin,Temuco,862,1.9.2. Corte de cable por crecimiento de vegetacion bajo tendido electrico,Araucanía,9101,91,9,10-abr-2023 19:54
2022-2023,El Rosario,18-feb-2023 15:30,349.073152,Malleco,Victoria,824,4.1.2. No determinada (la causa no es investigada),Araucanía,9211,92,9,23-feb-2023 17:50
2022-2023,Huidima,17-feb-2023 18:32,428.825774,Cautin,Teodoro Schmidt,813,1.2.8. Incendio de  maquinaria agricola,Araucanía,9117,91,9,2-mar-2023 13:08
2022-2023,Quilimanzano 2,17-feb-2023 16:20,551.325036,Cautin,Teodoro Schmidt,810,2.1.3. Atentado incendiario por conflicto,Araucanía,9117,91,9,2-mar-2023 13:24
2022-2023,Los Copihues,17-feb-2023 15:15,430.172497,Cautin,Vilcun,808,2.1.11. Otros intencionales no clasificados,Araucanía,9119,91,9,16-mar-2023 17:42
2022-2023,Cerro Verde 2,17-feb-2023 15:18,1590.858173,Malleco,Victoria,807,2.1.4. Conflicto territorial o patrimonial,Araucanía,9211,92,9,23-feb-2023 11:55
2022-2023,Maria Yolanda,17-feb-2023 12:44,1211.3882,Malleco,Victoria,801,1.6.1. Rebrote de incendio anterior  declarado controlado,Araucanía,9211,92,9,23-feb-2023 11:53
2022-2023,El Molino,17-feb-2023 11:15,3816.737638,Malleco,Victoria,796,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9211,92,9,24-feb-2023 11:28
2022-2023,Canada,15-feb-2023 19:20,316.201781,Malleco,Collipulli,780,4.1.2. No determinada (la causa no es investigada),Araucanía,9202,92,9,14-mar-2023 08:24
2022-2023,Camino Quino,15-feb-2023 18:10,296.947218,Malleco,Victoria,777,1.6.1. Rebrote de incendio anterior  declarado controlado,Araucanía,9211,92,9,24-feb-2023 14:52
2022-2023,La Guacha,11-feb-2023 16:57,1385.808424,Malleco,Victoria,759,1.6.3. Incendio estructural (campamento forestal  casa habitacion u otras edificaciones),Araucanía,9211,92,9,24-feb-2023 14:49
2022-2023,Chile Nuestro 2,10-feb-2023 16:01,502.080566,Cautin,Galvarino,754,2.1.11. Otros intencionales no clasificados,Araucanía,9106,91,9,23-feb-2023 12:18
2022-2023,Toquihue 4,9-feb-2023 19:20,264.700316,Malleco,Victoria,749,4.1.2. No determinada (la causa no es investigada),Araucanía,9211,92,9,23-feb-2023 12:02
2022-2023,San Jose de Ercilla,6-feb-2023 10:40,1114.069389,Malleco,Ercilla,742,4.1.2. No determinada (la causa no es investigada),Araucanía,9204,92,9,23-feb-2023 12:07
2022-2023,Santa Cruz 2,9-feb-2023 08:31,227.665534,Cautin,Galvarino,741,4.1.2. No determinada (la causa no es investigada),Araucanía,9106,91,9,24-feb-2023 14:48
2022-2023,Alto Huimpil (N),8-feb-2023 05:30,963.068064,Cautin,Galvarino,734,4.1.2. No determinada (la causa no es investigada),Araucanía,9106,91,9,24-feb-2023 14:48
2022-2023,Reduccion Marileo,7-feb-2023 18:06,1072.912663,Cautin,Lautaro,728,2.1.11. Otros intencionales no clasificados,Araucanía,9108,91,9,24-feb-2023 14:47
2022-2023,Pangueco 8,7-feb-2023 17:16,378.13546,Malleco,Puren,726,4.1.2. No determinada (la causa no es investigada),Araucanía,9208,92,9,23-feb-2023 12:50
2022-2023,Quilquihuenco,7-feb-2023 15:56,962.395829,Malleco,Collipulli,725,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9202,92,9,14-feb-2023 17:29
2022-2023,Quechereguas 2,3-feb-2023 16:00,3652.748228,Malleco,Traiguen,722,4.1.2. No determinada (la causa no es investigada),Araucanía,9210,92,9,3-mar-2023 14:49
2022-2023,Saboya,6-feb-2023 14:27,296.657364,Malleco,Los Sauces,702,4.1.2. No determinada (la causa no es investigada),Araucanía,9206,92,9,14-feb-2023 17:07
2022-2023,Las Bandurrias,6-feb-2023 11:57,301.576077,Malleco,Los Sauces,698,4.1.2. No determinada (la causa no es investigada),Araucanía,9206,92,9,14-feb-2023 17:00
2022-2023,Chamichaco,5-feb-2023 18:57,217.972794,Malleco,Ercilla,694,4.1.2. No determinada (la causa no es investigada),Araucanía,9204,92,9,14-feb-2023 16:39
2022-2023,Ñielol (P),5-feb-2023 15:05,571.961377,Cautin,Galvarino,692,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9106,91,9,24-feb-2023 14:46
2022-2023,Quechereguas,4-feb-2023 16:13,4728.378913,Malleco,Traiguen,689,4.1.2. No determinada (la causa no es investigada),Araucanía,9210,92,9,3-mar-2023 14:48
2022-2023,Pellahuenco,4-feb-2023 19:30,206.685951,Malleco,Puren,687,4.1.2. No determinada (la causa no es investigada),Araucanía,9208,92,9,14-feb-2023 22:00
2022-2023,Curaco 6,4-feb-2023 16:32,806.606322,Cautin,Cholchol,684,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9121,91,9,13-feb-2023 14:59
2022-2023,San Pablo,4-feb-2023 17:32,244.055794,Cautin,Lautaro,678,4.1.2. No determinada (la causa no es investigada),Araucanía,9108,91,9,13-feb-2023 17:22
2022-2023,Sector Bolilche,4-feb-2023 12:56,1306.206947,Cautin,Nueva Imperial,673,1.10.6. Otras actividades no clasificados (coccion de ladrillo),Araucanía,9111,91,9,13-feb-2023 14:52
